Modelo,Train_Accuracy,Accuracy,Precision_Yes,Recall_Yes,F1_Yes
Random Forest,1.0,0.8401360544217688,0.5,0.06382978723404255,0.11320754716981132
Regresion Logistica,0.7806122448979592,0.7551020408163265,0.35294117647058826,0.6382978723404256,0.45454545454545453
